Listing_Postion,Title,Brand,MRP,Price,Count_of_Rating,Count_of_reviews,Average_Rating_Score,Product_URL,Image_URL
60,Sony X90K 138.8 cm (55 inch) 4K Ultra HD LED Google Android TV with Voice Assistance (2022 model),Sony ,169900.0,104490.0,10.0,10.0,4.5,https://www.croma.com/sony-x90k-138-8-cm-55-inch-4k-ultra-hd-led-google-android-tv-with-voice-assistance-2022-model-/p/256347,/sony-x90k-138-8-cm-55-inch-4k-ultra-hd-led-google-android-tv-with-voice-assistance-2022-model-/p/256347
61,Acer I Series 126 cm (50 inch) 4K Ultra HD LED Android TV with Google Assistant (2022 model),Acer ,40990.0,26999.0,34.0,33.0,4.5,https://www.croma.com/acer-i-series-126-cm-50-inch-4k-ultra-hd-led-android-tv-with-google-assistant-2022-model-/p/255844,/acer-i-series-126-cm-50-inch-4k-ultra-hd-led-android-tv-with-google-assistant-2022-model-/p/255844
62,LG UQ80 139 cm (55 inch) 4K Ultra HD LED WebOS TV with Voice Assistance (2022 model),LG ,84990.0,59990.0,84.0,81.0,4.7,https://www.croma.com/lg-uq80-139-cm-55-inch-4k-ultra-hd-led-webos-tv-with-voice-assistance-2022-model-/p/256092,/lg-uq80-139-cm-55-inch-4k-ultra-hd-led-webos-tv-with-voice-assistance-2022-model-/p/256092
63,LG UQ80 108 cm (43 inch) 4K Ultra HD LED WebOS TV with Voice Assistance (2022 model),LG ,59990.0,40990.0,75.0,69.0,4.5,https://www.croma.com/lg-uq80-108-cm-43-inch-4k-ultra-hd-led-webos-tv-with-voice-assistance-2022-model-/p/256198,/lg-uq80-108-cm-43-inch-4k-ultra-hd-led-webos-tv-with-voice-assistance-2022-model-/p/256198
64,TCL S Series 101 cm (40 inch) Full HD LED Smart Android TV with Google Assistant,TCL ,41490.0,18889.0,8.0,7.0,3.3,https://www.croma.com/tcl-s-series-101-cm-40-inch-full-hd-led-smart-android-tv-with-google-assistant/p/256196,/tcl-s-series-101-cm-40-inch-full-hd-led-smart-android-tv-with-google-assistant/p/256196
65,TCL C835 190.5 cm (75 inch) 4K Ultra HD QLED Android TV with Voice Assistance (2022 model),TCL ,429990.0,229990.0,,,,https://www.croma.com/tcl-c835-190-5-cm-75-inch-4k-ultra-hd-qled-android-tv-with-voice-assistance-2022-model-/p/255764,/tcl-c835-190-5-cm-75-inch-4k-ultra-hd-qled-android-tv-with-voice-assistance-2022-model-/p/255764
66,TCL C Series 190.5 cm (75 inch) 4K Ultra HD QLED Android TV with Voice Assistance (2022 model),TCL ,299990.0,149990.0,,,,https://www.croma.com/tcl-c-series-190-5-cm-75-inch-4k-ultra-hd-qled-android-tv-with-voice-assistance-2022-model-/p/255763,/tcl-c-series-190-5-cm-75-inch-4k-ultra-hd-qled-android-tv-with-voice-assistance-2022-model-/p/255763
67,TCL C835 138.7 cm (55 inch) 4K Ultra HD LED Android TV with Voice Assistance (2022 model),TCL ,249990.0,119990.0,,,,https://www.croma.com/tcl-c835-138-7-cm-55-inch-4k-ultra-hd-led-android-tv-with-voice-assistance-2022-model-/p/255758,/tcl-c835-138-7-cm-55-inch-4k-ultra-hd-led-android-tv-with-voice-assistance-2022-model-/p/255758
68,TCL P735 165.1 cm (65 inch) 4K Ultra HD LED Android TV with Voice Assistance (2022 model),TCL ,125990.0,65990.0,,,,https://www.croma.com/tcl-p735-165-1-cm-65-inch-4k-ultra-hd-led-android-tv-with-voice-assistance-2022-model-/p/255762,/tcl-p735-165-1-cm-65-inch-4k-ultra-hd-led-android-tv-with-voice-assistance-2022-model-/p/255762
69,TCL P735 127 cm (50 inch) 4K Ultra HD LED Android TV with Google Assistant (2022 model),TCL ,75990.0,33990.0,,,,https://www.croma.com/tcl-p735-127-cm-50-inch-4k-ultra-hd-led-android-tv-with-google-assistant-2022-model-/p/255756,/tcl-p735-127-cm-50-inch-4k-ultra-hd-led-android-tv-with-google-assistant-2022-model-/p/255756
70,TCL C835 Series 165 cm (65 inch) 4K Ultra HD QLED Android TV with Google Assistant,TCL ,309990.0,159990.0,,,,https://www.croma.com/tcl-c835-series-165-cm-65-inch-4k-ultra-hd-qled-android-tv-with-google-assistant/p/255761,/tcl-c835-series-165-cm-65-inch-4k-ultra-hd-qled-android-tv-with-google-assistant/p/255761
